frame	ordinal	query_offset	subject_offset
1	0	0	0
1	1	1	1
1	2	2	2
1	3	62	2
1	4	16	3
1	5	63	3
1	6	3	3
1	7	17	4
1	8	4	4
1	9	43	4
1	10	5	5
1	11	6	6
1	12	7	7
1	13	8	8
1	14	9	9
1	15	10	10
1	16	11	11
1	17	12	12
1	18	13	13
1	19	14	14
1	20	41	15
1	21	15	15
1	22	16	16
1	23	3	16
1	24	17	17
1	25	4	17
1	26	18	18
1	27	19	19
1	28	20	20
1	29	21	21
1	30	22	22
1	31	23	23
1	32	24	24
1	33	25	25
1	34	26	26
1	35	27	27
1	36	28	28
1	37	29	29
1	38	30	30
1	39	31	31
1	40	32	32
1	41	33	33
1	42	34	34
1	43	35	35
1	44	36	36
1	45	68	37
1	46	37	37
1	47	38	38
1	48	95	39
1	49	39	39
1	50	40	40
1	51	41	41
1	52	15	41
1	53	42	42
1	54	4	43
1	55	43	43
1	56	44	44
1	57	45	45
1	58	46	46
1	59	47	47
1	60	48	48
1	61	49	49
1	62	50	50
1	63	51	51
1	64	52	52
1	65	53	53
1	66	54	54
1	67	55	55
1	68	56	56
1	69	57	57
1	70	58	58
1	71	59	59
1	72	60	60
1	73	61	61
1	74	2	62
1	75	62	62
1	76	63	63
1	77	3	63
1	78	64	64
1	79	65	65
1	80	66	66
1	81	67	67
1	82	68	68
1	83	37	68
1	84	69	69
1	85	70	70
1	86	71	71
1	87	72	72
1	88	73	73
1	89	74	74
1	90	75	75
1	91	76	76
1	92	77	77
1	93	78	78
1	94	79	79
1	95	80	80
1	96	81	81
1	97	82	82
1	98	83	83
1	99	84	84
1	100	85	85
1	101	86	86
1	102	87	87
1	103	88	88
1	104	89	89
1	105	90	90
1	106	91	91
1	107	92	92
1	108	93	93
1	109	94	94
1	110	95	95
1	111	39	95
1	112	96	96
1	113	97	97
1	114	98	98
1	115	99	99
1	116	100	100
1	117	101	101
1	118	102	102
1	119	103	103
1	120	104	104
1	121	105	105
1	122	106	106
1	123	107	107
1	124	108	108
1	125	109	109
1	126	110	110
1	127	111	111
1	128	112	112
1	129	113	113
1	130	114	114
1	131	115	115
1	132	116	116
1	133	117	117
2	0	16	4
2	1	3	4
2	2	17	5
2	3	4	5
2	4	43	5
2	5	111	9
2	6	5	10
2	7	111	12
2	8	83	40
2	9	43	52
2	10	63	54
2	11	3	54
2	12	4	55
2	13	43	55
2	14	78	65
2	15	79	66
2	16	78	70
2	17	50	71
2	18	79	71
2	19	111	72
2	20	78	77
2	21	79	78
2	22	27	108
2	23	16	111
2	24	63	111
2	25	3	111
2	26	17	112
2	27	4	112
2	28	43	112
3	0	63	10
3	1	87	24
3	2	27	56
3	3	2	71
3	4	62	71
3	5	63	72
3	6	3	72
3	7	9	110
-1	0	24	7
-1	1	23	63
-1	2	83	73
-1	3	21	114
-2	0	7	84
-2	1	107	103
-3	0	31	4
-3	1	2	7
-3	2	62	7
-3	3	28	8
-3	4	29	9
-3	5	68	25
-3	6	37	25
-3	7	61	25
-3	8	41	30
-3	9	15	30
-3	10	29	32
-3	11	24	37
-3	12	92	43
-3	13	93	44
-3	14	51	57
-3	15	41	82
-3	16	2	83
-3	17	62	83
-3	18	42	83
-3	19	29	85
-3	20	24	105
-3	21	93	107
